"","SimulationNumber","Node","Community","TrialStatus","DayEnrolled"
"391",14,781,8,0,56
"392",14,785,8,0,56
"393",14,789,8,0,56
"394",14,791,8,0,56
"395",14,794,8,0,56
"396",14,795,8,0,56
"397",14,796,8,0,56
"398",14,801,8,0,56
"399",14,802,8,0,56
"400",14,803,8,0,56
"401",14,804,8,0,56
"402",14,806,8,0,56
"403",14,807,8,0,56
"404",14,808,8,0,56
"405",14,811,9,1,56
"406",14,813,9,1,56
"407",14,814,9,1,56
"408",14,817,9,1,56
"409",14,818,9,1,56
"410",14,819,9,1,56
"411",14,823,9,1,56
"412",14,826,9,1,56
"413",14,827,9,1,56
"414",14,829,9,1,56
"415",14,830,9,1,56
"416",14,834,9,1,56
"417",14,836,9,1,56
"418",14,840,9,1,56
"419",14,841,9,1,56
"420",14,843,9,1,56
"421",14,844,9,1,56
"422",14,846,9,1,56
"423",14,848,9,1,56
"424",14,850,9,1,56
"425",14,851,9,1,56
"426",14,855,9,1,56
"427",14,856,9,1,56
"428",14,861,9,1,56
"429",14,862,9,1,56
"430",14,863,9,1,56
"431",14,867,9,1,56
"432",14,868,9,1,56
"433",14,869,9,1,56
"434",14,870,9,1,56
"435",14,871,9,1,56
"436",14,873,9,1,56
"437",14,874,9,1,56
"438",14,876,9,1,56
"439",14,877,9,1,56
"440",14,878,9,1,56
"441",14,881,9,1,56
"442",14,886,9,1,56
"443",14,890,9,1,56
"444",14,891,9,1,56
"445",14,895,9,1,56
"446",14,896,9,1,56
"447",14,897,9,1,56
"448",14,901,9,1,56
"449",14,903,9,1,56
"450",14,906,9,1,56
"451",14,907,9,1,56
"452",14,908,9,1,56
"453",14,909,9,1,56
"454",14,910,9,1,56
"455",14,912,9,1,56
"456",14,913,9,1,56
"457",14,914,9,1,56
"458",14,916,9,1,56
"459",14,919,9,1,56
"460",14,920,10,1,56
"461",14,923,10,1,56
"462",14,926,10,1,56
"463",14,929,10,1,56
"464",14,930,10,1,56
"465",14,932,10,1,56
"466",14,933,10,1,56
"467",14,935,10,1,56
"468",14,936,10,1,56
"469",14,937,10,1,56
"470",14,941,10,1,56
"471",14,942,10,1,56
"472",14,943,10,1,56
"473",14,944,10,1,56
"474",14,945,10,1,56
"475",14,946,10,1,56
"476",14,949,10,1,56
"477",14,950,10,1,56
"478",14,951,10,1,56
"479",14,953,10,1,56
"480",14,957,10,1,56
"481",14,960,10,1,56
"482",14,961,10,1,56
"483",14,965,10,1,56
"484",14,970,10,1,56
"485",14,972,10,1,56
"486",14,973,10,1,56
"487",14,975,10,1,56
"488",14,976,10,1,56
"489",14,977,10,1,56
"490",14,981,10,1,56
"491",14,983,10,1,56
"492",14,985,10,1,56
"493",14,987,10,1,56
"494",14,991,10,1,56
"495",14,992,10,1,56
"496",14,993,10,1,56
"497",14,994,10,1,56
"498",14,996,10,1,56
"499",14,998,10,1,56
"500",14,1000,10,1,56
"501",14,1002,10,1,56
"502",14,1006,10,1,56
"503",14,1007,10,1,56
"504",14,1009,10,1,56
"505",14,1011,10,1,56
"506",14,1014,10,1,56
"507",14,1015,10,1,56
"508",14,1017,10,1,56
"509",14,1018,10,1,56
"510",14,1020,10,1,56
"511",14,1023,10,1,56
"512",14,1025,11,1,56
"513",14,1026,11,1,56
"514",14,1028,11,1,56
"515",14,1029,11,1,56
"516",14,1032,11,1,56
"517",14,1034,11,1,56
"518",14,1035,11,1,56
"519",14,1036,11,1,56
"520",14,1039,11,1,56
"521",14,1040,11,1,56
"522",14,1043,11,1,56
"523",14,1044,11,1,56
"524",14,1045,11,1,56
"525",14,1046,11,1,56
"526",14,1047,11,1,56
"527",14,1048,11,1,56
"528",14,1050,11,1,56
"529",14,1054,11,1,56
"530",14,1058,11,1,56
"531",14,1060,11,1,56
"532",14,1062,11,1,56
"533",14,1063,11,1,56
"534",14,1066,11,1,56
"535",14,1068,11,1,56
"536",14,1071,11,1,56
"537",14,1073,11,1,56
"538",14,1078,11,1,56
"539",14,1081,11,1,56
"540",14,1084,11,1,56
"541",14,1086,11,1,56
"542",14,1088,11,1,56
"543",14,1089,11,1,56
"544",14,1090,11,1,56
"545",14,1092,11,1,56
"546",14,1093,11,1,56
"547",14,1096,11,1,56
"548",14,1097,11,1,56
"549",14,1099,11,1,56
"550",14,1100,11,1,56
"551",14,1102,11,1,56
"552",14,1103,11,1,56
"553",14,1105,11,1,56
"554",14,1108,11,1,56
"555",14,1109,11,1,56
"556",14,1111,11,1,56
"557",14,1112,11,1,56
"558",14,1114,11,1,56
"559",14,1115,11,1,56
"560",14,1117,11,1,56
"561",14,1120,11,1,56
"562",14,1124,11,1,56
"563",14,1125,11,1,56
"564",14,1126,11,1,56
"565",14,1133,11,1,56
"566",14,1134,11,1,56
"567",14,1136,11,1,56
"568",14,1137,11,1,56
"569",14,1138,11,1,56
"570",14,1140,12,0,56
"571",14,1144,12,0,56
"572",14,1146,12,0,56
"573",14,1147,12,0,56
"574",14,1150,12,0,56
"575",14,1151,12,0,56
"576",14,1152,12,0,56
"577",14,1153,12,0,56
"578",14,1154,12,0,56
"579",14,1155,12,0,56
"580",14,1156,12,0,56
"581",14,1159,12,0,56
"582",14,1161,12,0,56
"583",14,1162,12,0,56
"584",14,1165,12,0,56
"585",14,1169,12,0,56
"586",14,1174,12,0,56
"587",14,1175,12,0,56
"588",14,1176,12,0,56
"589",14,1178,12,0,56
"590",14,1185,12,0,56
"591",14,1186,12,0,56
"592",14,1187,12,0,56
"593",14,1190,12,0,56
"594",14,1191,12,0,56
"595",14,1194,12,0,56
"596",14,1196,12,0,56
"597",14,1197,12,0,56
"598",14,1199,12,0,56
"599",14,1202,12,0,56
"600",14,1204,12,0,56
"601",14,1205,12,0,56
"602",14,1208,12,0,56
"603",14,1209,12,0,56
"604",14,1210,12,0,56
"605",14,1211,12,0,56
"606",14,1212,12,0,56
"607",14,1214,12,0,56
"608",14,1216,12,0,56
"609",14,1217,12,0,56
"610",14,1221,12,0,56
"611",14,1222,12,0,56
"612",14,1225,12,0,56
"613",14,1226,12,0,56
"614",14,1227,12,0,56
"615",14,1230,12,0,56
"616",14,1232,13,0,56
"617",14,1234,13,0,56
"618",14,1238,13,0,56
"619",14,1239,13,0,56
"620",14,1240,13,0,56
"621",14,1243,13,0,56
"622",14,1244,13,0,56
"623",14,1245,13,0,56
"624",14,1248,13,0,56
"625",14,1249,13,0,56
"626",14,1252,13,0,56
"627",14,1253,13,0,56
"628",14,1261,13,0,56
"629",14,1262,13,0,56
"630",14,1264,13,0,56
"631",14,1267,13,0,56
"632",14,1270,13,0,56
