0_0_508_200_0,1_0_497_200_0,2_0_502_200_0,3_1_504_200_0,4_0_512_200_0,5_0_518_200_17,6_0_505_200_0,7_0_510_200_0,8_1_480_200_3,9_0_503_200_0,10_1_515_200_26,11_1_493_200_12,12_0_514_200_2,13_1_496_200_5,14_1_511_200_0,15_1_486_200_8,16_1_503_200_7,17_0_487_200_1,18_1_515_200_15,19_1_480_200_21,
0_0_488_200_7,1_1_481_200_2,2_1_518_200_17,3_1_504_200_7,4_0_482_200_3,5_1_518_200_6,6_1_502_200_15,7_0_505_200_5,8_0_513_200_0,9_1_516_200_16,10_1_489_200_1,11_0_513_200_8,12_0_513_200_17,13_0_485_200_18,14_0_510_200_1,15_1_500_200_0,16_1_490_200_0,17_1_503_200_8,18_0_502_200_7,19_0_495_200_7,
0_1_507_199_16,1_0_520_200_0,2_0_503_200_11,3_1_507_200_0,4_0_508_200_5,5_0_482_200_7,6_1_486_200_12,7_0_499_200_7,8_1_516_200_20,9_1_492_200_1,10_1_508_200_4,11_1_502_200_0,12_0_486_200_6,13_1_494_200_5,14_1_516_200_11,15_0_508_200_4,16_1_503_200_17,17_0_513_200_0,18_0_506_200_3,19_0_516_200_13,
0_0_505_199_6,1_1_501_200_4,2_0_517_200_5,3_0_520_200_6,4_0_494_200_2,5_0_507_200_6,6_0_499_200_2,7_1_490_200_0,8_1_492_200_0,9_1_503_200_0,10_1_518_200_6,11_1_498_200_6,12_1_489_200_11,13_1_481_200_16,14_0_502_200_10,15_0_480_200_3,16_1_508_200_18,17_0_482_200_0,18_0_481_200_2,19_1_484_200_0,
0_0_497_199_8,1_1_504_200_0,2_1_512_200_3,3_0_512_200_6,4_1_483_200_0,5_0_499_200_5,6_0_488_200_11,7_0_501_200_6,8_1_489_200_13,9_1_519_200_6,10_1_487_200_16,11_1_506_200_12,12_1_510_200_12,13_1_483_200_5,14_0_481_200_0,15_0_508_200_18,16_0_496_200_0,17_0_516_200_8,18_0_488_200_0,19_1_516_200_8,
0_0_514_199_5,1_1_484_200_0,2_0_485_200_0,3_0_485_200_27,4_1_495_200_0,5_0_490_200_0,6_1_508_200_6,7_0_502_200_0,8_0_486_200_0,9_1_497_200_18,10_1_499_200_22,11_0_516_200_20,12_1_501_200_16,13_0_517_200_0,14_1_481_200_10,15_0_481_200_10,16_0_484_200_13,17_1_505_200_0,18_1_489_200_10,19_1_494_200_12,
0_1_479_200_1,1_1_492_200_11,2_1_517_200_1,3_1_483_200_0,4_0_493_200_18,5_0_496_200_11,6_1_500_200_11,7_1_508_200_0,8_0_480_200_0,9_1_483_200_2,10_0_480_200_2,11_0_483_200_14,12_1_507_200_7,13_0_516_200_8,14_0_498_200_0,15_0_500_200_7,16_0_518_200_8,17_1_508_200_7,18_0_491_200_13,19_1_514_200_19,
0_0_507_200_11,1_0_494_200_0,2_0_485_200_0,3_1_487_200_16,4_1_511_200_1,5_1_519_200_1,6_1_504_200_6,7_0_511_200_0,8_0_494_200_0,9_0_506_200_1,10_0_489_200_3,11_0_504_200_8,12_1_481_200_3,13_1_505_200_9,14_0_491_200_0,15_0_485_200_4,16_1_514_200_1,17_1_481_200_1,18_1_517_200_24,19_1_513_200_3,
0_0_500_199_3,1_1_499_200_15,2_1_495_200_0,3_1_507_200_14,4_0_480_200_4,5_1_518_200_11,6_0_483_200_15,7_1_516_200_0,8_1_502_200_0,9_0_499_200_11,10_1_504_200_14,11_0_516_200_2,12_0_480_200_0,13_1_513_200_6,14_0_510_200_0,15_1_512_200_10,16_1_484_200_20,17_0_518_200_20,18_0_502_200_8,19_0_494_200_14,
0_0_481_200_0,1_0_511_200_6,2_0_495_200_0,3_1_486_200_10,4_1_511_200_9,5_0_490_200_0,6_0_480_200_1,7_0_482_200_2,8_0_506_200_20,9_1_510_200_10,10_1_501_200_4,11_1_492_200_2,12_0_492_200_3,13_1_482_200_0,14_0_490_200_1,15_1_513_200_0,16_1_502_200_25,17_1_486_200_0,18_0_500_200_0,19_1_500_200_0,
