0_1_499_399_0,1_0_484_400_0,2_0_519_400_4,3_0_503_400_20,4_1_505_400_0,5_1_499_400_22,6_1_502_400_19,7_1_505_400_5,8_0_504_400_0,9_0_486_400_0,
0_0_508_394_23,1_1_494_400_0,2_0_519_400_21,3_0_497_400_10,4_1_511_400_14,5_1_484_400_13,6_0_518_400_0,7_1_493_400_20,8_1_481_400_19,9_0_489_400_30,
0_0_516_399_0,1_0_515_400_19,2_0_491_400_0,3_1_499_400_12,4_1_517_400_0,5_1_504_400_42,6_1_497_400_17,7_0_509_400_20,8_1_487_400_0,9_0_498_400_21,
0_0_517_399_7,1_1_512_400_16,2_1_507_400_0,3_0_486_400_1,4_0_504_400_0,5_0_486_400_13,6_1_488_400_7,7_1_501_400_0,8_1_484_400_7,9_0_519_400_4,
0_0_510_399_5,1_0_510_400_9,2_1_509_400_11,3_0_489_400_0,4_0_497_400_20,5_1_496_400_5,6_1_510_400_22,7_0_504_400_13,8_1_502_400_0,9_1_483_400_13,
0_0_498_399_1,1_0_499_400_0,2_1_493_400_0,3_1_501_400_11,4_0_497_400_1,5_0_490_400_0,6_0_486_400_0,7_1_499_330_29,8_1_488_400_3,9_1_480_400_0,
0_0_496_399_0,1_1_504_400_38,2_0_493_400_0,3_1_507_400_10,4_0_517_400_58,5_1_520_400_6,6_1_492_400_12,7_0_502_400_0,8_0_483_400_24,9_1_502_400_3,
0_1_506_400_4,1_0_491_400_10,2_0_518_400_6,3_0_485_400_0,4_1_518_400_0,5_0_488_384_29,6_0_518_400_20,7_1_481_400_0,8_1_492_400_1,9_1_497_400_0,
0_1_492_399_0,1_1_517_400_28,2_1_518_400_2,3_0_508_400_0,4_0_485_400_6,5_1_519_400_1,6_1_506_400_1,7_0_505_400_14,8_0_498_400_3,9_0_516_400_6,
0_0_517_399_7,1_1_513_400_39,2_0_519_400_0,3_1_499_400_0,4_1_514_400_28,5_1_518_400_10,6_0_520_400_5,7_0_485_400_2,8_1_487_400_18,9_0_494_400_14,
0_0_498_399_5,1_1_503_400_19,2_1_485_400_6,3_1_515_400_0,4_0_510_400_5,5_0_487_400_19,6_0_489_400_8,7_0_516_400_23,8_1_505_400_0,9_1_513_400_13,
0_0_493_399_0,1_0_496_400_8,2_1_519_400_26,3_1_481_400_0,4_0_508_400_0,5_1_505_400_27,6_1_500_400_16,7_0_519_400_26,8_1_481_400_18,9_0_511_400_2,
0_0_501_400_0,1_1_507_400_41,2_1_506_400_0,3_1_497_400_0,4_0_503_400_11,5_0_507_400_14,6_0_504_400_0,7_0_485_400_0,8_1_503_400_7,9_1_481_400_26,
0_0_510_399_0,1_1_505_400_5,2_1_502_400_0,3_1_508_400_19,4_0_499_400_25,5_0_482_400_14,6_1_485_400_4,7_0_510_400_18,8_1_518_400_16,9_0_485_400_13,
0_0_511_400_28,1_0_486_400_26,2_0_517_400_12,3_1_503_400_21,4_1_487_400_0,5_1_484_400_31,6_0_502_400_0,7_0_511_400_0,8_1_519_400_0,9_1_513_400_19,
0_0_515_399_0,1_1_498_400_0,2_0_509_400_52,3_1_505_400_0,4_1_489_400_6,5_0_511_400_0,6_1_510_400_40,7_0_504_400_16,8_0_480_400_10,9_1_501_388_60,
0_1_517_399_27,1_0_492_400_17,2_0_504_400_17,3_0_484_400_0,4_0_499_400_0,5_0_495_400_0,6_1_503_400_0,7_1_510_400_11,8_1_517_400_0,9_1_484_400_0,
0_1_504_399_2,1_1_485_400_5,2_0_480_400_8,3_1_516_400_48,4_1_489_400_4,5_0_490_400_22,6_0_498_400_46,7_1_484_394_17,8_0_484_400_26,9_0_500_400_0,
0_1_493_400_3,1_1_480_400_1,2_1_488_400_9,3_0_487_400_6,4_1_506_400_25,5_0_503_400_8,6_0_499_400_26,7_0_494_400_24,8_1_498_400_0,9_0_508_400_12,
0_0_499_399_34,1_1_514_400_32,2_0_519_400_17,3_0_496_400_8,4_1_509_400_2,5_1_483_400_3,6_0_483_400_1,7_1_505_400_0,8_0_489_400_0,9_1_497_400_2,
0_0_507_399_11,1_1_507_400_43,2_1_480_400_12,3_0_500_400_30,4_0_490_400_15,5_0_487_400_0,6_1_485_400_0,7_1_486_400_1,8_1_487_400_0,9_0_512_400_0,
