0_1_516_399_0,1_1_510_400_0,2_0_492_400_20,3_1_482_400_5,4_0_509_400_11,5_1_499_400_0,6_0_510_400_17,7_0_498_400_0,8_1_494_400_2,9_0_497_400_0,
0_1_519_399_0,1_0_491_400_30,2_0_491_400_35,3_1_494_400_4,4_1_503_400_0,5_1_501_400_0,6_1_517_400_1,7_0_519_400_0,8_0_493_400_7,9_0_519_400_5,
0_1_517_399_3,1_1_488_400_0,2_0_498_400_33,3_0_498_400_4,4_1_507_400_0,5_0_484_400_25,6_0_513_400_11,7_0_510_400_19,8_1_515_400_0,9_1_495_400_1,
0_0_491_399_10,1_1_496_400_0,2_1_508_400_3,3_0_514_400_0,4_0_486_400_0,5_1_501_400_1,6_0_496_400_0,7_0_492_400_12,8_1_486_400_5,9_1_487_400_0,
0_1_482_399_0,1_0_500_400_0,2_0_515_400_3,3_0_519_400_8,4_0_498_400_0,5_1_492_400_1,6_1_517_400_0,7_1_506_400_0,8_1_509_400_0,9_0_494_400_0,
0_0_489_399_10,1_1_500_400_0,2_0_494_400_0,3_1_494_400_0,4_0_493_400_3,5_0_488_400_0,6_1_496_400_1,7_0_486_400_19,8_1_498_400_0,9_1_480_400_0,
0_1_481_399_0,1_0_504_400_1,2_1_498_400_6,3_0_503_400_22,4_1_509_400_0,5_1_492_400_4,6_0_502_400_12,7_0_510_400_29,8_0_488_400_31,9_1_502_400_3,
0_1_479_399_0,1_0_520_400_15,2_1_516_400_3,3_1_494_400_6,4_1_491_400_0,5_0_493_400_7,6_0_502_400_1,7_1_503_400_3,8_0_517_400_13,9_0_484_400_24,
0_0_506_399_32,1_1_504_400_0,2_0_482_400_1,3_1_505_400_0,4_1_519_400_2,5_1_491_400_0,6_0_483_400_20,7_0_506_400_40,8_0_481_400_0,9_1_499_400_0,
0_1_484_399_0,1_0_500_400_0,2_0_490_400_16,3_1_500_400_0,4_0_518_400_29,5_1_502_400_3,6_1_483_400_0,7_0_498_400_18,8_1_517_400_2,9_0_491_400_4,
0_0_513_399_7,1_1_497_400_0,2_0_496_400_10,3_1_505_400_0,4_0_502_400_14,5_1_519_400_0,6_1_500_400_0,7_0_514_400_11,8_0_516_400_20,9_1_504_400_0,
0_0_486_399_3,1_0_496_400_11,2_0_502_400_7,3_0_517_400_11,4_1_484_400_0,5_1_481_400_0,6_0_518_400_0,7_1_513_400_1,8_1_513_400_0,9_1_494_400_1,
0_1_501_398_3,1_1_497_400_0,2_0_511_400_2,3_0_505_400_4,4_0_505_400_11,5_0_510_400_0,6_1_513_400_1,7_1_493_400_1,8_0_518_400_3,9_1_484_400_0,
0_0_483_399_3,1_0_506_354_32,2_1_512_400_6,3_1_504_400_0,4_0_483_400_2,5_1_504_400_0,6_1_517_400_0,7_0_483_372_21,8_0_511_400_0,9_1_486_400_0,
0_0_505_400_9,1_1_517_400_1,2_1_513_400_0,3_0_500_400_15,4_0_520_400_1,5_1_480_400_3,6_0_486_400_0,7_1_491_400_0,8_0_510_400_0,9_1_508_400_2,
0_1_496_399_1,1_1_512_400_0,2_0_512_400_0,3_1_482_400_0,4_0_518_400_28,5_0_515_400_0,6_1_505_400_1,7_1_517_400_1,8_0_516_400_9,9_0_508_400_30,
0_1_515_399_7,1_1_507_400_0,2_1_482_400_2,3_0_494_400_1,4_0_486_400_21,5_0_516_400_35,6_1_498_400_2,7_1_493_400_0,8_0_492_400_0,9_0_503_369_33,
0_0_493_399_2,1_0_486_400_0,2_0_480_400_0,3_1_501_400_2,4_1_511_400_2,5_0_517_400_13,6_0_482_400_29,7_1_482_400_4,8_1_504_400_5,9_1_508_400_0,
0_0_519_399_4,1_0_505_400_0,2_1_519_400_1,3_0_490_400_0,4_0_480_400_13,5_1_515_400_3,6_0_485_400_9,7_1_514_400_0,8_1_510_400_3,9_1_504_381_5,
0_0_496_400_0,1_0_494_400_4,2_0_504_400_11,3_1_503_400_1,4_0_492_400_6,5_0_483_400_19,6_1_515_400_2,7_1_517_400_1,8_1_500_400_3,9_1_516_385_7,
0_0_491_399_0,1_0_513_400_0,2_0_500_400_2,3_1_518_400_0,4_1_504_400_0,5_1_489_400_0,6_0_483_400_0,7_1_519_400_0,8_1_501_400_0,9_0_488_400_9,
0_0_512_399_15,1_1_487_400_0,2_0_480_400_3,3_0_511_400_1,4_0_512_400_0,5_0_495_400_9,6_1_492_400_4,7_1_486_400_1,8_1_480_400_0,9_1_511_400_0,
0_0_492_399_0,1_1_513_400_0,2_0_504_400_0,3_0_483_400_17,4_0_493_400_2,5_1_518_400_0,6_1_487_393_0,7_1_483_400_4,8_0_481_400_0,9_1_510_400_0,
0_0_501_399_0,1_1_512_400_1,2_0_488_400_0,3_1_484_378_3,4_0_483_400_18,5_1_500_400_1,6_1_480_400_3,7_1_508_400_0,8_0_517_400_7,9_0_481_400_0,
0_1_487_399_4,1_0_489_400_1,2_1_498_400_0,3_0_499_400_32,4_1_511_400_0,5_1_505_400_2,6_0_497_400_0,7_1_509_400_3,8_0_491_400_0,9_0_492_400_4,
0_0_491_399_0,1_1_499_400_0,2_0_480_400_0,3_1_510_400_0,4_0_491_400_7,5_0_493_400_8,6_0_495_400_7,7_1_489_400_1,8_1_510_400_4,9_1_502_400_0,
0_1_495_399_3,1_1_508_400_0,2_1_501_400_0,3_0_517_399_30,4_0_508_400_8,5_1_508_400_1,6_1_491_400_0,7_0_520_400_14,8_0_490_400_33,9_0_502_400_13,
