0_1_103_92_0,1_0_83_74_0,2_1_108_97_0,3_0_100_90_0,4_0_96_86_0,5_1_104_93_0,6_0_84_75_0,7_0_93_83_0,8_1_90_81_0,9_1_87_78_0,10_0_117_105_0,11_0_97_87_0,12_1_104_91_2,13_0_113_101_0,14_1_87_78_0,15_1_83_74_0,16_0_106_95_0,17_1_105_94_0,18_1_95_85_0,19_0_94_84_0,20_1_113_101_0,21_1_86_77_0,22_0_95_85_0,23_0_91_81_0,24_1_94_84_0,25_1_95_85_0,26_0_94_84_0,27_1_93_83_0,28_0_82_73_0,29_1_113_101_0,30_0_103_92_0,31_0_102_91_0,32_1_93_82_0,33_0_109_98_0,34_1_112_100_0,35_0_114_102_0,36_1_88_76_0,37_0_85_76_0,38_0_109_98_0,39_1_118_106_0,
0_0_95_85_0,1_0_105_91_2,2_1_94_84_0,3_0_103_92_1,4_1_108_97_0,5_0_111_99_0,6_1_95_85_0,7_0_119_107_0,8_1_80_72_0,9_1_86_77_0,10_0_106_95_0,11_0_80_72_0,12_1_96_85_0,13_1_114_102_0,14_0_80_72_0,15_1_83_74_0,16_0_84_75_4,17_1_90_80_0,18_1_104_92_0,19_1_104_93_0,20_0_110_99_0,21_1_104_93_0,22_1_85_76_0,23_0_113_100_0,24_1_82_73_0,25_0_96_86_0,26_1_81_72_0,27_1_110_99_0,28_1_80_72_0,29_0_80_72_0,30_0_96_86_0,31_0_106_95_0,32_0_99_63_9,33_0_120_108_0,34_1_80_72_0,35_0_119_97_11,36_0_82_73_0,37_0_84_75_0,38_1_101_87_2,39_1_116_104_0,
0_0_96_87_0,1_1_94_84_0,2_1_98_88_0,3_0_106_95_0,4_1_93_83_0,5_1_113_61_6,6_1_89_80_0,7_1_100_90_0,8_1_82_73_0,9_1_120_108_0,10_0_90_81_0,11_1_99_88_0,12_1_108_97_0,13_0_109_98_0,14_1_120_108_0,15_1_113_101_0,16_1_99_89_0,17_1_114_102_0,18_1_88_78_0,19_1_86_76_0,20_0_83_74_0,21_0_96_86_0,22_0_80_72_0,23_0_100_90_0,24_0_85_76_0,25_0_94_83_0,26_0_110_99_0,27_0_108_97_0,28_0_97_87_0,29_0_93_83_0,30_0_105_94_0,31_0_105_94_0,32_1_103_92_1,33_0_102_91_0,34_1_119_107_0,35_0_98_88_0,36_0_104_93_0,37_1_92_81_0,38_0_106_94_0,39_1_119_107_0,
0_0_113_100_1,1_0_97_87_0,2_1_95_85_0,3_1_96_86_0,4_0_102_91_0,5_0_81_72_0,6_0_110_99_0,7_0_97_87_0,8_1_84_75_0,9_1_118_106_0,10_0_84_75_0,11_1_115_103_0,12_1_96_86_0,13_0_115_103_0,14_0_85_76_0,15_1_106_95_0,16_0_80_72_1,17_0_83_74_0,18_0_81_72_0,19_0_85_76_0,20_0_92_82_0,21_0_95_85_0,22_1_87_78_0,23_1_114_102_0,24_1_82_73_0,25_1_118_106_0,26_1_88_79_1,27_0_103_92_0,28_1_108_95_0,29_1_82_73_0,30_1_118_106_0,31_0_89_80_0,32_0_113_101_0,33_1_99_88_0,34_0_99_89_0,35_0_104_88_0,36_1_110_99_0,37_1_120_107_0,38_1_91_81_0,39_1_99_89_0,
0_1_99_87_0,1_1_103_92_0,2_1_117_98_0,3_0_85_74_0,4_0_84_75_0,5_1_118_106_0,6_1_92_82_0,7_1_99_89_0,8_0_107_96_2,9_0_96_86_0,10_0_118_106_0,11_1_93_83_0,12_1_115_103_0,13_0_102_91_0,14_0_85_76_0,15_0_95_85_0,16_1_91_81_0,17_1_107_96_0,18_0_95_85_0,19_0_98_88_0,20_1_114_102_0,21_0_101_90_0,22_0_88_79_0,23_1_110_99_0,24_0_102_91_0,25_0_120_108_0,26_1_93_83_0,27_0_120_108_2,28_1_97_87_0,29_1_115_103_0,30_1_118_106_0,31_1_90_81_0,32_1_119_106_0,33_1_99_89_0,34_0_120_108_0,35_0_89_80_0,36_0_108_97_0,37_1_86_72_2,38_0_105_94_0,39_0_100_90_0,
0_0_103_92_0,1_0_80_72_0,2_1_83_74_0,3_1_117_105_0,4_1_106_92_0,5_0_120_108_0,6_1_115_103_0,7_1_116_104_0,8_0_88_79_0,9_0_117_105_0,10_1_85_76_0,11_0_116_104_0,12_0_114_102_0,13_1_106_95_0,14_1_93_83_0,15_0_95_85_0,16_1_94_83_1,17_0_90_81_0,18_0_105_93_0,19_0_119_107_0,20_0_111_99_0,21_1_102_91_0,22_1_98_88_0,23_0_89_80_0,24_1_104_92_0,25_1_96_86_0,26_0_107_96_0,27_0_112_100_0,28_1_90_80_0,29_1_89_80_0,30_0_87_78_0,31_0_96_86_0,32_1_82_72_0,33_0_90_81_0,34_0_101_90_0,35_1_90_81_0,36_1_86_77_0,37_1_109_98_0,38_0_94_84_0,39_1_95_85_0,
0_1_79_70_1,1_1_84_75_0,2_0_83_72_5,3_1_111_99_0,4_1_82_73_0,5_1_89_80_0,6_0_105_94_0,7_1_86_77_0,8_0_104_93_0,9_1_85_76_0,10_0_120_108_0,11_0_110_99_0,12_0_86_77_0,13_1_117_105_0,14_1_111_99_0,15_1_100_90_0,16_1_80_72_0,17_0_120_108_0,18_0_99_89_0,19_1_120_108_0,20_1_100_85_2,21_1_80_72_0,22_0_109_98_0,23_0_114_102_0,24_0_104_93_0,25_1_91_81_0,26_0_95_85_0,27_1_109_97_0,28_1_95_85_0,29_0_101_90_0,30_1_106_95_0,31_0_80_72_0,32_0_99_89_0,33_1_114_102_0,34_0_98_88_0,35_0_96_86_0,36_0_107_96_0,37_0_111_99_0,38_1_98_88_0,39_0_116_104_0,
0_1_80_71_0,1_0_93_83_0,2_1_107_96_0,3_1_94_84_0,4_0_97_87_0,5_0_105_94_0,6_0_114_102_1,7_0_118_106_0,8_0_108_97_0,9_0_108_97_0,10_1_86_75_0,11_1_95_85_0,12_0_110_99_0,13_1_91_81_3,14_0_98_88_0,15_0_82_73_0,16_0_111_99_0,17_0_99_89_0,18_0_96_86_0,19_1_91_81_0,20_0_90_81_0,21_1_90_81_0,22_0_109_98_0,23_1_92_82_0,24_0_108_97_0,25_1_101_90_0,26_0_95_85_0,27_0_100_90_0,28_1_96_86_0,29_0_95_85_0,30_0_102_91_0,31_1_109_98_3,32_1_95_85_0,33_1_113_101_0,34_1_104_93_0,35_1_119_107_0,36_1_120_108_0,37_1_93_83_0,38_1_80_72_0,39_1_119_107_0,
0_1_117_104_0,1_1_120_108_0,2_0_98_88_0,3_0_81_72_0,4_0_99_89_0,5_0_89_80_0,6_0_94_84_0,7_0_100_88_0,8_0_116_104_0,9_1_99_89_0,10_0_104_93_0,11_1_80_72_0,12_1_85_76_0,13_1_118_106_0,14_0_81_72_0,15_0_113_101_0,16_1_119_107_0,17_1_107_96_0,18_1_97_87_0,19_1_95_85_0,20_0_110_99_0,21_1_88_79_0,22_0_119_107_0,23_1_83_74_0,24_0_82_73_0,25_1_120_108_0,26_0_111_98_0,27_1_94_84_0,28_1_104_93_0,29_0_101_90_0,30_0_111_99_0,31_1_113_101_0,32_0_93_82_0,33_1_96_86_0,34_1_105_94_0,35_1_100_90_0,36_0_82_73_0,37_0_117_105_0,38_1_107_96_0,39_0_120_108_0,
0_0_106_95_0,1_0_85_76_0,2_1_109_91_4,3_0_112_100_0,4_0_105_94_0,5_0_119_107_0,6_0_99_89_0,7_1_113_101_0,8_1_109_98_1,9_1_116_104_0,10_1_109_98_0,11_0_95_84_0,12_1_92_82_0,13_1_104_93_0,14_1_102_91_0,15_1_108_97_0,16_1_82_73_0,17_0_104_93_0,18_1_82_40_1,19_1_87_78_0,20_0_101_90_0,21_0_99_89_0,22_1_98_88_0,23_1_104_93_0,24_0_108_97_1,25_0_86_76_0,26_1_101_90_0,27_0_113_101_0,28_1_97_87_0,29_0_83_72_0,30_1_95_85_0,31_0_103_92_1,32_1_114_102_0,33_0_82_73_0,34_0_120_108_0,35_1_117_105_0,36_0_96_86_0,37_0_96_86_0,38_1_119_103_0,39_0_91_81_0,
0_1_112_100_0,1_0_96_86_0,2_0_102_91_3,3_0_116_104_0,4_0_90_81_0,5_1_114_102_0,6_0_85_76_0,7_1_104_92_0,8_0_86_77_0,9_1_90_81_0,10_1_108_96_0,11_1_110_99_0,12_0_98_88_0,13_0_83_74_0,14_0_109_56_10,15_0_114_102_0,16_1_108_97_0,17_0_86_77_2,18_1_118_106_0,19_1_88_79_0,20_0_109_98_0,21_0_95_85_0,22_0_109_98_0,23_1_95_85_0,24_1_118_106_0,25_1_112_100_0,26_0_106_95_0,27_0_120_108_0,28_1_106_95_0,29_1_91_81_0,30_0_96_85_0,31_1_100_90_0,32_1_81_72_0,33_0_92_82_0,34_1_111_99_0,35_1_114_102_0,36_1_115_103_0,37_0_93_83_0,38_0_89_80_0,39_1_118_106_0,
0_0_104_93_0,1_1_92_82_0,2_0_93_83_0,3_0_100_90_0,4_1_112_100_0,5_1_109_98_0,6_1_104_93_0,7_0_107_96_0,8_0_92_82_0,9_1_95_85_0,10_0_91_81_0,11_0_90_81_0,12_0_99_89_0,13_0_95_85_0,14_1_102_91_0,15_0_102_91_0,16_1_88_79_0,17_0_104_93_0,18_0_108_97_0,19_1_107_96_0,20_1_111_99_0,21_0_80_72_0,22_1_96_86_0,23_1_115_103_0,24_1_112_100_0,25_0_94_84_0,26_1_101_90_0,27_1_103_92_0,28_1_85_76_0,29_1_90_81_0,30_0_106_95_0,31_1_99_89_0,32_0_81_72_0,33_0_81_72_0,34_0_117_105_0,35_1_119_107_0,36_0_100_89_0,37_1_103_92_0,38_1_102_91_0,39_0_84_75_0,
0_1_108_98_0,1_1_118_106_0,2_1_119_107_0,3_1_90_81_0,4_1_84_75_0,5_0_97_87_0,6_0_110_99_0,7_0_96_86_0,8_0_102_91_0,9_0_90_81_0,10_0_80_72_0,11_0_118_106_0,12_0_111_99_0,13_1_91_81_1,14_0_92_82_0,15_1_102_91_0,16_1_93_66_3,17_0_97_87_0,18_0_113_101_0,19_0_114_102_0,20_1_108_90_9,21_1_112_100_0,22_1_105_94_0,23_0_96_86_0,24_0_87_78_0,25_1_110_99_0,26_0_83_72_4,27_1_102_90_0,28_0_96_86_0,29_1_86_77_0,30_0_112_100_0,31_1_120_108_0,32_1_95_85_0,33_1_94_84_0,34_1_107_96_0,35_0_91_81_0,36_0_101_90_0,37_1_90_81_0,38_0_107_96_0,39_1_120_108_0,
