I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
8,21,7,48,-0.8938178760220964,-1.8123787564307907,
3,29,8,35,-2.0149030205422647,-1.3862943611198906,
7,40,22,52,-1.6341305250244718,-0.8347976976229721,
6,44,10,76,-1.8607523407150064,-1.9459101490553135,
13,31,22,53,-0.8266785731844679,-0.8534898306351247,
8,17,32,32,-0.6931471805599453,0.0,
7,14,20,35,-0.6286086594223742,-0.5389965007326869,
4,26,15,58,-1.6863989535702288,-1.3049487216659381,
4,42,14,72,-2.151762203259462,-1.582409240046181,
4,23,13,45,-1.5686159179138452,-1.1895840668738362,
2,24,23,34,-2.120263536200091,-0.37729423114146804,
5,34,13,48,-1.7635885922613588,-1.252762968495368,
19,9,27,27,0.6931471805599453,0.0,
9,48,12,46,-1.589235205116581,-1.285198244248522,
14,36,19,47,-0.9028677115420143,-0.8754687373538999,
11,42,18,78,-1.276293465905562,-1.425008873300581,
5,25,8,40,-1.466337068793427,-1.5163474893680884,
5,45,12,59,-2.03688192726104,-1.529395204760564,
6,32,18,39,-1.550597412411167,-0.7444404749474959,
3,4,8,17,-0.2231435513142097,-0.6931471805599453,
7,33,8,62,-1.4469189829363254,-1.9459101490553135,
7,15,20,21,-0.6931471805599453,-0.04652001563489282,
14,21,20,30,-0.38299225225610584,-0.3894647667617233,
2,20,10,51,-1.9459101490553135,-1.5533484457830569,
7,23,22,49,-1.0986122886681098,-0.7765287894989963,
6,34,12,57,-1.6094379124341003,-1.4954936530848826,
8,42,17,58,-1.563975538357343,-1.1871656860095547,
6,21,22,31,-1.1451323043030026,-0.33024168687057687,
6,35,10,63,-1.6376087894007967,-1.7609878105613013,
5,34,23,59,-1.7635885922613588,-0.916290731874155,
9,13,23,37,-0.3364722366212129,-0.4595323293784402,
6,36,12,47,-1.6650077635889111,-1.3062516534463542,
9,15,17,24,-0.4700036292457356,-0.3285040669720361,
13,36,27,70,-0.9718605830289657,-0.9304753668661115,
2,24,11,33,-2.120263536200091,-1.041453874828161,
2,28,4,30,-2.268683541318364,-1.824549292051046,
7,14,14,23,-0.6286086594223742,-0.4700036292457356,
11,27,17,56,-0.8472978603872037,-1.1526795099383855,
3,18,7,33,-1.55814461804655,-1.4469189829363254,
7,24,15,66,-1.1394342831883648,-1.4321038971511848,
12,19,12,32,-0.4307829160924542,-0.9315582040049435,
7,45,14,79,-1.749199854809259,-1.6739764335716716,
12,43,27,67,-1.2192402764567243,-0.8873031950009028,
3,35,3,46,-2.1972245773362196,-2.463853240590168,
5,47,20,96,-2.0794415416798357,-1.5301885407799598,
15,40,18,65,-0.9409833444645266,-1.245215762859985,
6,33,12,52,-1.580450375560848,-1.405342556090585,
7,36,12,49,-1.5314763709643884,-1.3470736479666092,
6,26,10,42,-1.349926716949016,-1.363304842895192,
17,27,14,68,-0.4418327522790392,-1.5260563034950494,
6,27,7,49,-1.3862943611198906,-1.8325814637483102,
5,38,7,54,-1.8718021769015913,-1.927891643552635,
9,70,22,87,-1.9600947840472698,-1.3418425985490567,
2,26,6,46,-2.1972245773362196,-1.9042374526547454,
14,19,20,44,-0.2876820724517809,-0.7621400520468967,
3,20,9,40,-1.6582280766035324,-1.410986973710262,
17,29,16,56,-0.5108256237659907,-1.209837923778334,
11,31,13,35,-0.9808292530117262,-0.9444616088408514,
10,19,27,13,-0.5978370007556204,0.6931471805599453,
3,19,15,46,-1.6094379124341003,-1.0775588794702773,
9,23,23,42,-0.8754687373538999,-0.5831462853456169,
3,15,8,26,-1.3862943611198906,-1.0986122886681098,
8,27,26,38,-1.1349799328389845,-0.3677247801253174,
6,21,12,31,-1.1451323043030026,-0.9007865453381898,
6,36,17,55,-1.6650077635889111,-1.1349799328389845,
5,24,7,35,-1.4271163556401458,-1.5040773967762742,
14,21,23,50,-0.38299225225610584,-0.7537718023763802,
14,34,27,60,-0.8472978603872037,-0.7786693539981073,
12,19,8,28,-0.4307829160924542,-1.1700712526502546,
16,21,14,40,-0.2578291093020998,-1.0055218656020977,
12,34,20,65,-0.9903987040278769,-1.1451323043030026,
5,21,8,39,-1.2992829841302609,-1.491654876777717,
3,17,13,28,-1.5040773967762742,-0.7282385003712154,
9,30,18,50,-1.1314021114911006,-0.9873866535578852,
9,14,16,22,-0.40546510810816444,-0.3022808718729337,
8,22,10,48,-0.9382696385929302,-1.493925025312256,
7,16,24,21,-0.7537718023763802,0.127833371509885,
13,11,31,35,0.15415067982725836,-0.11778303565638351,
5,15,17,21,-0.9808292530117262,-0.2006706954621511,
5,34,16,65,-1.7635885922613588,-1.3564413979702095,
2,29,5,57,-2.3025850929940455,-2.268683541318364,
3,33,4,55,-2.1400661634962708,-2.4159137783010487,
13,28,23,55,-0.7282385003712154,-0.8472978603872037,
6,35,12,61,-1.6376087894007967,-1.5621850275835547,
6,37,14,45,-1.6916760106710724,-1.120591195386885,
2,17,7,35,-1.791759469228055,-1.5040773967762742,
5,32,7,50,-1.7047480922384253,-1.8523840910444898,
