"","x"
"192",-2.99573227355399
"193",-1.6094379124341
"194",-2.07944154167984
"195",-2.83321334405622
"196",-2.484906649788
"197",-1.94591014905531
"198",-0.405465108108164
"199",-1.87180217690159
"200",-2.19722457733622
"201",-1.6094379124341
"202",-1.38629436111989
"203",-2.63905732961526
"204",-2.39789527279837
"205",-1.89711998488588
"206",-2.56494935746154
"207",-3.17805383034795
"208",0
"209",-1.01160091167848
"210",-0.405465108108164
"211",-2.4567357728213
"212",-2.42774823594805
"213",-0.8754687373539
"214",0
"215",-1.70474809223843
"216",-2.39789527279837
"217",-2.35137525716348
"218",-0.693147180559945
"219",0.693147180559945
"220",-3.66356164612965
"221",-2.63905732961526
"222",-2.99573227355399
"223",-1.6094379124341
"224",-2.484906649788
"225",-2.19722457733622
"226",-3.13549421592915
"227",-3.36729582998647
"228",-3.66356164612965
"229",0
"230",-3.49650756146648
"231",-2.63905732961526
"232",-2.484906649788
"233",-2.2512917986065
"234",-3.71357206670431
"235",0
"236",-1.94591014905531
"237",-2.94443897916644
"238",-3.40119738166216
"239",-2.56494935746154
"240",-2.07944154167984
"241",-2.26868354131836
"242",-2.2512917986065
"243",-2.94443897916644
"244",-3.87120101090789
"245",-3.89182029811063
"246",-1.09861228866811
"247",-3.76120011569356
"248",-3.25809653802148
"249",-3.3322045101752
"250",-3.02042488614436
"251",-3.55534806148941
"252",-1.79175946922805
"253",-1.25276296849537
"254",-2.01490302054226
"255",-1.38629436111989
"256",-1.87180217690159
"257",-1.50407739677627
"258",-1.38629436111989
"259",-2.4423470353692
"260",-2.19722457733622
"261",-3.17805383034795
"262",-0.78845736036427
"263",-0.287682072451781
"264",-2.99573227355399
"265",-2.19722457733622
"266",-3.2188758248682
"267",-1.38629436111989
"268",-3.36729582998647
"269",-3.17805383034795
"270",-2.70805020110221
"271",-1.6094379124341
"272",-0.693147180559945
"273",-3.49650756146648
"274",-2.39789527279837
"275",-3.25809653802148
"276",-1.38629436111989
"277",-2.56494935746154
"278",-2.56494935746154
"279",-1.79175946922805
"280",-2.7408400239252
"281",-1.94591014905531
"282",-2.83321334405622
"283",-0.405465108108164
"284",-2.94443897916644
"285",-2.9704144655697
"286",-3.87120101090789
"287",-3.58351893845611
"288",0.693147180559945
"289",-3.04452243772342
"290",-2.77258872223978
"291",-1.70474809223843
"292",-1.38629436111989
"293",-2.03688192726104
"294",-2.89037175789616
"295",0.405465108108164
"296",-1.94591014905531
"297",-2.77258872223978
"298",-2.30258509299405
"299",-1.38629436111989
"300",-4.31748811353631
"301",-3.76120011569356
"302",-3.29583686600433
"303",-3.09104245335832
"304",-2.70805020110221
"305",-2.01490302054226
"306",-1.50407739677627
"307",-2.77258872223978
"308",-2.35137525716348
"309",-2.7408400239252
"310",-0.693147180559945
"311",-2.83321334405622
"312",-3.3322045101752
"313",-3.13549421592915
"314",-3.58351893845611
"315",-0.693147180559945
"316",-3.71357206670431
"317",-2.484906649788
"318",-3.06805293513362
"319",-2.83321334405622
"320",-3.55534806148941
"321",-1.94591014905531
"322",-2.83321334405622
"323",-1.79175946922805
"324",-1.09861228866811
"325",-2.30258509299405
"326",-2.30258509299405
"327",-2.94443897916644
"328",-2.51230562397611
"329",-0.693147180559945
"330",-1.79175946922805
"331",-2.39789527279837
"332",-3.06805293513362
"333",-1.38629436111989
"334",-3.02042488614436
"335",-3.46573590279973
"336",-2.30258509299405
"337",-4.02535169073515
"338",-2.19722457733622
"339",-0.693147180559945
"340",-0.693147180559945
"341",-3.2188758248682
"342",-3.63758615972639
"343",-1.6094379124341
"344",-2.83321334405622
"345",-1.79175946922805
"346",-3.13549421592915
"347",-2.63905732961526
"348",0.693147180559945
"349",-0.847297860387204
"350",-2.77258872223978
"351",-1.6094379124341
"352",-1.38629436111989
"353",-3.66356164612965
"354",-3.78418963391826
"355",-2.99573227355399
"356",-2.99573227355399
"357",-2.56494935746154
"358",-3.49650756146648
"359",-1.09861228866811
"360",-1.87180217690159
"361",-2.83321334405622
"362",-2.19722457733622
"363",-1.38629436111989
"364",0
"365",-2.75153531304195
"366",-2.56494935746154
"367",-2.484906649788
"368",-2.70805020110221
"369",-2.01490302054226
"370",-1.79175946922805
"371",-1.6094379124341
"372",-2.30258509299405
"373",-2.77258872223978
"374",-3.61091791264422
"375",0
"376",-3.89182029811063
"377",-2.01490302054226
"378",-2.39789527279837
"379",-1.09861228866811
"380",-1.79175946922805
"381",-3.46573590279973
"382",-2.56494935746154
"383",-3.98898404656427
"384",0
"385",-3.04452243772342
"386",-3.25809653802148
"387",-3.25809653802148
"388",-2.9704144655697
"389",1.38629436111989
"390",-2.70805020110221
"391",-1.09861228866811
"392",0.405465108108164
"393",-1.79175946922805
"394",-3.68887945411394
"395",-1.87180217690159
"396",0.405465108108164
"397",-0.980829253011726
"398",-2.30258509299405
"399",-3.66356164612965
"400",-1.6094379124341
"401",-2.56494935746154
"402",-2.89037175789616
"403",-1.09861228866811
"404",-2.19722457733622
"405",-2.94443897916644
"406",0
"407",-3.40119738166216
"408",-3.2188758248682
"409",-2.19722457733622
"410",-1.6094379124341
"411",-2.89037175789616
"412",-1.70474809223843
"413",-1.70474809223843
"414",-3.73766961828337
"415",-3.04452243772342
"416",-1.09861228866811
"417",-1.70474809223843
"418",-2.23359222150709
"419",0
"420",-0.916290731874155
"421",-0.980829253011726
"422",-3.17805383034795
"423",-1.6094379124341
"424",-2.89037175789616
"425",-3.95124371858143
"426",-3.89182029811063
"427",-1.85238409104449
"428",-1.94591014905531
"429",-2.56494935746154
"430",-2.26176309847379
"431",0
"432",-4.07753744390572
"433",-1.94591014905531
"434",-3.02042488614436
"435",-3.19867311755068
"436",-3.71357206670431
"437",-2.30258509299405
"438",-2.39789527279837
"439",-1.6094379124341
"440",-2.484906649788
"441",-0.693147180559945
"442",-3.43398720448515
"443",-1.73460105538811
"444",-4.06044301054642
"445",-3.17805383034795
"446",-2.30258509299405
"447",-1.94591014905531
"448",-1.38629436111989
"449",-2.83321334405622
