I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
4,36,4,67,-2.001480000210124,-2.6100697927420065,
5,27,5,14,-1.540445040947149,-0.916290731874155,
2,18,0,29,-1.845826690498331,-3.4011973816621555,
1,4,0,9,-0.916290731874155,-2.3025850929940455,
4,15,4,7,-1.1631508098056809,-0.4700036292457356,
1,11,18,16,-1.791759469228055,0.1112256351102244,
2,61,0,81,-3.028522096376982,-4.406719247264253,
1,5,2,12,-1.0986122886681098,-1.466337068793427,
5,46,3,63,-2.0583881324820035,-2.772588722239781,
8,21,26,18,-0.8938178760220964,0.3513978868378886,
3,72,12,114,-2.9041650800285006,-2.1799827709017134,
0,33,0,60,-3.5263605246161616,-4.110873864173311,
0,24,2,34,-3.2188758248682006,-2.456735772821304,
0,43,1,51,-3.784189633918261,-3.258096538021482,
1,6,6,12,-1.252762968495368,-0.6190392084062235,
4,56,5,60,-2.4336133554004498,-2.3191143949452564,
6,23,11,13,-1.2321436812926323,-0.15415067982725836,
0,64,3,98,-4.174387269895637,-3.2088254890146994,
4,20,7,24,-1.4350845252893227,-1.1394342831883648,
2,68,2,71,-3.1354942159291497,-3.1780538303479458,
1,40,1,68,-3.0204248861443626,-3.5409593240373143,
1,29,2,32,-2.70805020110221,-2.3978952727983707,
5,99,8,155,-2.8134107167600364,-2.8526314299133175,
7,59,16,86,-2.0149030205422647,-1.6326947745983675,
8,35,12,51,-1.3862943611198906,-1.3862943611198906,
1,9,2,23,-1.6094379124341003,-2.0794415416798357,
5,11,7,19,-0.6931471805599453,-0.916290731874155,
4,88,3,152,-2.8791984572980396,-3.644143560272545,
4,2,11,4,0.5108256237659907,0.8754687373538999,
1,20,0,28,-2.3513752571634776,-3.367295829986474,
1,111,1,159,-4.02535169073515,-4.382026634673881,
2,43,2,49,-2.6855773452501515,-2.8134107167600364,
4,5,10,8,-0.1823215567939546,0.20067069546215124,
4,11,13,23,-0.8754687373538999,-0.5389965007326869,
8,3,28,6,0.8109302162163288,1.421385680931161,
1,69,2,111,-3.5553480614894135,-3.619886582626985,
0,61,0,80,-4.127134385045092,-4.394449154672439,
4,25,5,33,-1.6486586255873816,-1.7346010553881064,
4,49,7,76,-2.3025850929940455,-2.264363880173848,
7,2,6,4,0.9808292530117262,0.3364722366212129,
9,34,10,62,-1.252762968495368,-1.7452394535931621,
4,20,2,34,-1.4350845252893227,-2.456735772821304,
0,27,3,67,-3.332204510175204,-2.833213344056216,
4,18,5,29,-1.3350010667323402,-1.6094379124341003,
5,31,11,38,-1.6739764335716716,-1.1786549963416462,
1,54,0,81,-3.3141860046725258,-4.406719247264253,
1,34,0,40,-2.8622008809294686,-3.713572066704308,
3,16,5,33,-1.4469189829363254,-1.7346010553881064,
4,60,4,77,-2.501435951739211,-2.7472709142554916,
2,38,6,37,-2.5649493574615367,-1.6916760106710724,
0,1,0,8,-0.6931471805599453,-2.1972245773362196,
5,111,7,164,-2.9267394020670396,-3.0265039322207445,
13,9,26,13,0.3364722366212129,0.6567795363890705,
1,9,6,16,-1.6094379124341003,-0.8873031950009028,
3,10,3,15,-1.0116009116784799,-1.3862943611198906,
1,23,2,38,-2.4849066497880004,-2.5649493574615367,
6,60,7,63,-2.164963715117998,-2.0794415416798357,
5,16,6,23,-1.041453874828161,-1.2321436812926323,
6,9,3,6,-0.35667494393873245,-0.5596157879354228,
0,34,2,55,-3.5553480614894135,-2.9267394020670396,
0,18,2,29,-2.9444389791664407,-2.3025850929940455,
3,69,10,77,-2.8622008809294686,-1.9588135538912212,
1,39,2,34,-2.995732273553991,-2.456735772821304,
5,61,4,91,-2.3353749158170367,-2.91235066461494,
7,36,9,36,-1.5314763709643884,-1.3083328196501787,
4,2,12,4,0.5108256237659907,0.9555114450274363,
3,115,4,162,-3.367295829986474,-3.484312288372662,
1,25,2,58,-2.5649493574615367,-2.9789251552376097,
4,24,2,21,-1.6094379124341003,-1.9924301646902063,
0,29,2,41,-3.4011973816621555,-2.639057329615259,
1,90,4,171,-3.817712325956905,-3.5380565643793527,
0,45,3,58,-3.828641396489095,-2.691243082785829,
5,77,4,120,-2.5649493574615367,-3.186352633162641,
3,15,8,24,-1.3862943611198906,-1.0216512475319814,
2,28,11,14,-2.268683541318364,-0.2231435513142097,
5,35,4,48,-1.791759469228055,-2.2823823856765264,
6,8,7,16,-0.25131442828090605,-0.7537718023763802,
7,14,4,13,-0.6286086594223742,-1.0296194171811581,
10,35,16,56,-1.1856236656577395,-1.209837923778334,
7,18,9,38,-0.8649974374866046,-1.3609765531356008,
2,16,6,39,-1.7346010553881064,-1.742969305058623,
0,36,0,36,-3.6109179126442243,-3.6109179126442243,
9,149,14,199,-2.70805020110221,-2.5902671654458267,
7,28,18,46,-1.2878542883066382,-0.9057086225436182,
1,66,3,112,-3.5115454388310208,-3.34109345759245,
2,99,3,146,-3.506557897319982,-3.6041382256588457,
