I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
32,36,49,35,-0.11441035117774422,0.32850406697203605,
28,34,63,63,-0.1880522315029396,0.0,
23,27,36,55,-0.15415067982725836,-0.4144337780909248,
34,42,81,55,-0.20585205420414873,0.3813675565291038,
38,35,58,73,0.08004270767353636,-0.22652764929845035,
24,54,41,74,-0.7884573603642702,-0.579818495252942,
24,17,37,38,0.32850406697203605,-0.025975486403260677,
6,25,13,61,-1.3121863889661687,-1.488077055429833,
31,15,48,47,0.6931471805599453,0.02061928720273561,
28,21,44,47,0.27625337662815813,-0.06453852113757118,
29,37,67,77,-0.2363887780642304,-0.137201121513485,
30,22,43,35,0.29849298855599654,0.20067069546215124,
35,19,56,38,0.5877866649021191,0.3794896217049037,
31,17,58,49,0.5753641449035618,0.16551443847757333,
25,29,39,60,-0.1431008436406733,-0.42199441005937505,
28,32,63,47,-0.12921173148000623,0.28768207245178085,
38,20,56,27,0.6190392084062235,0.7108467576593461,
34,24,60,30,0.3364722366212129,0.676886659688165,
19,26,31,36,-0.30010459245033816,-0.14518200984449783,
27,21,68,33,0.24116205681688804,0.7077459799810979,
21,22,24,39,-0.04445176257083381,-0.4700036292457356,
37,39,65,53,-0.05129329438755058,0.20067069546215124,
30,12,65,17,0.8690378470236095,1.2992829841302609,
24,23,43,18,0.0408219945202552,0.8397506547518208,
21,18,67,40,0.14660347419187544,0.5059356384717989,
24,17,58,33,0.32850406697203605,0.5511769192895581,
26,44,62,52,-0.5108256237659907,0.17284281283941083,
23,19,46,40,0.1823215567939546,0.1365755350057507,
32,17,39,28,0.6061358035703155,0.32158362412746233,
13,22,14,36,-0.496436886313891,-0.9028677115420143,
35,23,53,31,0.4054651081081644,0.5232481437645479,
32,20,49,42,0.4519851237430572,0.1508228897345837,
19,27,46,53,-0.3364722366212129,-0.1388364448542158,
34,41,62,74,-0.1823215567939546,-0.1743533871447778,
30,26,62,36,0.13815033848081718,0.5322168137473082,
17,14,37,30,0.1823215567939546,0.20359895524123955,
29,15,57,30,0.6286086594223741,0.626455806061273,
16,29,34,78,-0.5679840376059393,-0.8140997909776079,
34,29,77,60,0.15415067982725836,0.24583496251628056,
12,18,23,42,-0.3794896217049037,-0.5831462853456169,
34,14,75,21,0.8472978603872037,1.2396908869280152,
18,34,30,45,-0.6109090823229733,-0.39465419200394874,
10,23,26,53,-0.7801585575495751,-0.6931471805599453,
16,24,31,37,-0.3856624808119846,-0.17185025692665928,
32,20,56,50,0.4519851237430572,0.1112256351102244,
42,21,63,40,0.6701576623352465,0.4453110166553641,
33,20,74,38,0.4818380868927384,0.653926467406664,
38,26,66,38,0.36772478012531734,0.5411309732613195,
51,25,82,59,0.6931471805599453,0.32449604557449724,
38,10,73,26,1.2656663733312759,1.0082282271998408,
47,21,80,53,0.780158557549575,0.4054651081081644,
35,32,72,49,0.0870113769896297,0.37843643572024505,
34,32,65,54,0.058840500022933395,0.1823215567939546,
25,30,57,27,-0.17589066646366416,0.7282385003712155,
31,23,68,29,0.28768207245178085,0.8329091229351039,
19,27,19,57,-0.3364722366212129,-1.0647107369924282,
16,14,37,35,0.125163142954006,0.05406722127027579,
26,41,43,73,-0.4418327522790392,-0.5198754592859085,
25,15,32,33,0.4855078157817008,-0.02985296314968116,
9,30,26,61,-1.1314021114911006,-0.8312975190407624,
21,19,29,40,0.09531017980432493,-0.31237468504215243,
2,18,13,33,-1.845826690498331,-0.8873031950009028,
