I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
1,14,3,19,-2.0149030205422647,-1.6094379124341003,
12,0,25,3,2.5649493574615367,1.8718021769015913,
11,1,29,2,1.791759469228055,2.302585092994046,
13,17,25,24,-0.25131442828090605,0.03922071315328133,
4,15,9,25,-1.1631508098056809,-0.9555114450274363,
6,3,6,5,0.5596157879354227,0.15415067982725836,
6,15,8,16,-0.8266785731844679,-0.6359887667199967,
13,0,17,0,2.6390573296152584,2.8903717578961645,
6,13,11,10,-0.6931471805599453,0.0870113769896297,
9,12,11,23,-0.262364264467491,-0.6931471805599453,
7,9,20,22,-0.2231435513142097,-0.09097177820572676,
6,4,11,11,0.3364722366212129,0.0,
8,5,9,4,0.4054651081081644,0.6931471805599453,
4,0,3,0,1.6094379124341003,1.3862943611198906,
1,22,1,24,-2.4423470353692043,-2.5257286443082556,
11,0,11,6,2.4849066497880004,0.5389965007326869,
9,0,13,0,2.302585092994046,2.6390573296152584,
25,18,37,46,0.3136575588550416,-0.21256144198367288,
9,6,5,8,0.3566749439387324,-0.40546510810816444,
26,0,48,4,3.295836866004329,2.2823823856765264,
1,13,3,11,-1.9459101490553135,-1.0986122886681098,
8,14,15,29,-0.5108256237659907,-0.6286086594223742,
5,5,8,11,0.0,-0.2876820724517809,
8,11,10,19,-0.2876820724517809,-0.5978370007556204,
6,3,3,2,0.5596157879354227,0.28768207245178085,
14,2,24,5,1.6094379124341003,1.4271163556401458,
7,6,4,3,0.13353139262452257,0.22314355131420976,
0,8,1,3,-2.1972245773362196,-0.6931471805599453,
1,7,0,11,-1.3862943611198906,-2.4849066497880004,
9,4,22,9,0.6931471805599453,0.8329091229351039,
3,5,9,14,-0.40546510810816444,-0.40546510810816444,
4,3,5,2,0.22314355131420976,0.6931471805599453,
14,3,25,5,1.3217558399823195,1.466337068793427,
1,27,2,41,-2.639057329615259,-2.639057329615259,
9,11,33,14,-0.1823215567939546,0.8183103235139513,
10,2,17,1,1.2992829841302609,2.1972245773362196,
17,11,22,22,0.4054651081081644,0.0,
20,15,23,27,0.27193371548364176,-0.15415067982725836,
17,14,34,11,0.1823215567939546,1.0704414117014134,
21,3,37,3,1.7047480922384253,2.2512917986064953,
7,9,6,24,-0.2231435513142097,-1.2729656758128873,
10,25,16,53,-0.8602012652231115,-1.1557707025080584,
13,18,18,54,-0.3053816495511819,-1.0628942060660305,
7,17,13,35,-0.8109302162163288,-0.9444616088408514,
5,6,3,6,-0.15415067982725836,-0.5596157879354228,
14,13,17,18,0.06899287148695142,-0.05406722127027582,
6,4,11,7,0.3364722366212129,0.4054651081081644,
12,1,32,6,1.8718021769015913,1.550597412411167,
10,3,22,1,1.0116009116784799,2.4423470353692043,
10,5,23,6,0.6061358035703155,1.2321436812926323,
5,15,10,13,-0.9808292530117262,-0.2411620568168881,
0,12,1,13,-2.5649493574615367,-1.9459101490553135,
14,1,30,5,2.0149030205422647,1.6422277352570913,
9,2,8,5,1.2039728043259361,0.4054651081081644,
2,1,13,0,0.4054651081081644,2.6390573296152584,
2,16,4,35,-1.7346010553881064,-1.9740810260220096,
2,1,4,1,0.4054651081081644,0.9162907318741551,
8,0,18,0,2.1972245773362196,2.9444389791664403,
9,12,24,12,-0.262364264467491,0.653926467406664,
4,8,11,9,-0.587786664902119,0.1823215567939546,
1,8,3,23,-1.5040773967762742,-1.791759469228055,
16,9,27,20,0.5306282510621704,0.28768207245178085,
1,1,5,3,0.0,0.4054651081081644,
4,2,1,9,0.5108256237659907,-1.6094379124341003,
3,4,4,3,-0.2231435513142097,0.22314355131420976,
11,8,10,22,0.28768207245178085,-0.7375989431307791,
11,6,18,23,0.5389965007326869,-0.2336148511815052,
3,0,10,1,1.3862943611198906,1.7047480922384253,
8,8,6,4,0.0,0.3364722366212129,
18,2,17,6,1.8458266904983307,0.9444616088408515,
9,4,9,17,0.6931471805599453,-0.587786664902119,
10,22,40,42,-0.7375989431307791,-0.04762804898925459,
9,13,8,18,-0.3364722366212129,-0.7472144018302211,
14,2,22,9,1.6094379124341003,0.8329091229351039,
11,5,17,14,0.6931471805599453,0.1823215567939546,
17,3,31,12,1.5040773967762742,0.9007865453381899,
32,15,40,31,0.723918839226699,0.24783616390458127,
7,3,8,7,0.6931471805599453,0.11778303565638346,
9,11,13,27,-0.1823215567939546,-0.6931471805599453,
