"","x"
"149",-1.29928298413026
"150",0.693147180559945
"151",-0.693147180559945
"152",-3.19184715248028
"153",-2.77258872223978
"154",-1.94591014905531
"155",-2.4567357728213
"156",-3.74950407593037
"157",-0.53062825106217
"158",-1.09861228866811
"159",-2.01490302054226
"160",0
"161",-2.9704144655697
"162",-1.88706964903238
"163",-1.83258146374831
"164",-1.09861228866811
"165",-2.42774823594805
"166",-2.07944154167984
"167",-2.35137525716348
"168",-2.00533356952611
"169",-2.484906649788
"170",-2.19722457733622
"171",-2.42036812865043
"172",-0.510825623765991
"173",0
"174",-1.42138568093116
"175",-0.587786664902119
"176",-2.22462355152433
"177",-2.01490302054226
"178",0.251314428280906
"179",-0.59783700075562
"180",-1.99243016469021
"181",-2.80336038090653
"182",-1.92529086185258
"183",-2.42036812865043
"184",-0.441832752279039
"185",-3.3322045101752
"186",-2.46385324059017
"187",-2.94443897916644
"188",-1.25276296849537
"189",-1.20397280432594
"190",-0.133531392624523
"191",-1.25276296849537
"192",-1.65292302437384
"193",-1.7404661748405
"194",-2.02814824729229
"195",-2.23359222150709
"196",-1.25276296849537
"197",-1.25276296849537
"198",-0.200670695462151
"199",-1.92789164355263
"200",-3.02042488614436
"201",-2.2512917986065
"202",-3.17805383034795
"203",-1.90423745265475
"204",0.0870113769896297
"205",-2.53142666542289
"206",-3.89182029811063
"207",-3.97029191355212
"208",-1.71479842809193
"209",-2.16905370036952
"210",0.916290731874155
"211",-1.79175946922805
"212",-1.02165124753198
"213",-1.54044504094715
"214",-2.03688192726104
"215",-2.42774823594805
"216",-3.04452243772342
"217",0.470003629245736
"218",-1.51634748936809
"219",-2.97892515523761
"220",-2.7408400239252
"221",-2.19722457733622
"222",-0.510825623765991
"223",-1.66500776358891
"224",-0.693147180559945
"225",-1.68639895357023
"226",-2.19722457733622
"227",-1.29098418131557
"228",-0.916290731874155
"229",-3.51154543883102
"230",-1.79175946922805
"231",-3.19867311755068
"232",-2.07944154167984
"233",-1.76766191764899
"234",-2.19722457733622
"235",-1.29928298413026
"236",-2.6149597780362
"237",-1.09861228866811
"238",-0.847297860387204
"239",-1.64222773525709
"240",-1.6094379124341
"241",-1.48807705542983
"242",-1.79175946922805
"243",-4.06044301054642
"244",-1.15267950993839
"245",-2.52572864430826
"246",-1.87180217690159
"247",-1.65822807660353
"248",-1.20397280432594
"249",-3.29583686600433
"250",-1.94591014905531
"251",-1.38629436111989
"252",-2.63905732961526
"253",-1.05605267424931
"254",-3.38439026334577
"255",-1.04982212449868
"256",-2.4091948280523
"257",-1.43508452528932
"258",-3.13549421592915
"259",-2.18122423598978
"260",-1.50407739677627
"261",-2.9704144655697
"262",-3.55534806148941
"263",-2.19722457733622
"264",-0.336472236621213
"265",-3.17805383034795
"266",-1.87180217690159
"267",-2.19722457733622
"268",-2.70805020110221
"269",-3.89182029811063
"270",0.8754687373539
"271",-2.94443897916644
"272",-1.79175946922805
"273",-2.07944154167984
"274",-2.35137525716348
"275",-2.07944154167984
"276",-3.55534806148941
"277",-2.42036812865043
"278",-2.15948424935337
"279",-1.96944064646551
"280",-1.70474809223843
"281",-1.7609878105613
"282",-2.4567357728213
"283",-1.26851132546351
"284",-2.56494935746154
