I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
20,7,38,17,0.965080896043587,0.7731898882334817,
24,16,34,17,0.38566248081198473,0.664976303593249,
25,34,47,67,-0.2972515234679316,-0.3483066942682157,
26,23,50,27,0.11778303565638346,0.5996211225491218,
6,18,8,33,-0.9985288301111273,-1.329135947279942,
45,34,88,31,0.27329333499968134,1.0229004669324133,
31,8,47,29,1.2685113254635072,0.47000362924573563,
31,27,47,40,0.13353139262452257,0.15762894420358306,
7,20,20,28,-0.9650808960435872,-0.322773392263051,
20,3,38,2,1.6582280766035324,2.5649493574615367,
5,9,4,42,-0.5108256237659907,-2.151762203259462,
15,10,26,8,0.3746934494414107,1.0986122886681098,
28,11,42,38,0.8823891801984737,0.09763846956391607,
19,23,20,52,-0.1823215567939546,-0.9257694758286987,
15,2,36,2,1.6739764335716716,2.512305623976115,
24,15,50,28,0.44628710262841953,0.5645298027378517,
9,13,17,24,-0.3364722366212129,-0.3285040669720361,
9,24,22,32,-0.916290731874155,-0.3610133455373305,
13,14,18,21,-0.06899287148695143,-0.1466034741918754,
20,11,32,9,0.5596157879354227,1.1939224684724346,
12,13,15,32,-0.07410797215372185,-0.723918839226699,
18,32,27,50,-0.5520685823000397,-0.5996211225491218,
12,17,9,27,-0.325422400434628,-1.0296194171811581,
26,3,39,12,1.9095425048844386,1.1239300966523995,
17,4,40,10,1.2809338454620642,1.3156767939059373,
31,10,35,33,1.067840630001356,0.05715841383994862,
11,16,12,40,-0.3483066942682157,-1.148622709242771,
7,11,26,14,-0.40546510810816444,0.5877866649021191,
19,28,27,40,-0.37156355643248296,-0.3813675565291038,
11,24,23,38,-0.7339691750802004,-0.48550781578170077,
25,16,54,31,0.4248831939652659,0.5415972824327444,
35,16,56,23,0.750305594399894,0.8649974374866045,
9,17,11,26,-0.587786664902119,-0.8109302162163288,
22,13,38,19,0.49643688631389105,0.6678293725756554,
33,24,27,30,0.3074846997479607,-0.10178269430994236,
16,27,30,47,-0.4989911661189879,-0.4372138064227446,
3,11,8,18,-1.0986122886681098,-0.7472144018302211,
17,24,42,29,-0.3285040669720361,0.36000273403140703,
21,19,24,33,0.09531017980432493,-0.30748469974796055,
23,21,31,31,0.0870113769896297,0.0,
22,14,39,29,0.42744401482693967,0.28768207245178085,
28,21,69,31,0.27625337662815813,0.7827593392496325,
18,26,34,37,-0.3513978868378886,-0.08223809823697212,
9,12,16,25,-0.262364264467491,-0.42488319396526597,
6,17,16,24,-0.9444616088408514,-0.3856624808119846,
18,17,41,22,0.05406722127027579,0.6021754023542185,
6,23,12,43,-1.2321436812926323,-1.2192402764567243,
14,17,22,35,-0.1823215567939546,-0.4480247225269604,
6,18,11,35,-0.9985288301111273,-1.0986122886681098,
11,21,16,58,-0.6061358035703156,-1.2443240998495033,
15,11,34,18,0.28768207245178085,0.6109090823229731,
6,12,6,18,-0.6190392084062235,-0.9985288301111273,
30,20,41,27,0.3894647667617233,0.4054651081081644,
8,11,8,38,-0.2876820724517809,-1.466337068793427,
17,23,44,48,-0.2876820724517809,-0.08515780834030683,
10,25,18,37,-0.8602012652231115,-0.6931471805599453,
23,14,41,26,0.47000362924573563,0.44183275227903923,
8,28,24,32,-1.1700712526502546,-0.2776317365982795,
8,15,19,36,-0.5753641449035618,-0.6151856390902334,
17,10,21,23,0.49247648509779424,-0.08701137698962981,
12,16,19,25,-0.2682639865946794,-0.262364264467491,
12,34,32,27,-0.9903987040278769,0.16430305129127634,
15,6,10,18,0.8266785731844679,-0.5465437063680699,
18,38,28,44,-0.719122666963206,-0.43936665978384565,
52,11,76,19,1.4853852637641216,1.3480731482996928,
10,33,25,32,-1.128465251817791,-0.23841102344499823,
10,9,9,16,0.09531017980432493,-0.5306282510621704,
22,9,34,41,0.8329091229351039,-0.1823215567939546,
9,4,15,7,0.6931471805599453,0.6931471805599453,
15,10,28,43,0.3746934494414107,-0.41689380393178715,
30,19,51,44,0.4382549309311553,0.1445812288111075,
13,13,32,16,0.0,0.6632942174102642,
15,20,23,35,-0.2719337154836418,-0.40546510810816444,
9,11,21,31,-0.1823215567939546,-0.3746934494414107,
26,16,45,37,0.46262352194811296,0.19105523676270922,
27,6,37,18,1.3862943611198906,0.6931471805599453,
20,15,32,24,0.27193371548364176,0.27763173659827955,
20,11,40,17,0.5596157879354227,0.8232003088081431,
18,9,26,12,0.6418538861723947,0.7308875085427924,
17,10,28,50,0.49247648509779424,-0.5645298027378518,
18,6,39,6,0.9985288301111273,1.742969305058623,
11,7,25,10,0.4054651081081644,0.8602012652231116,
16,10,17,22,0.4353180712578455,-0.24512245803298496,
26,15,42,25,0.5232481437645479,0.5031035776720804,
17,17,40,28,0.0,0.34627623671783375,
24,22,37,35,0.083381608939051,0.05406722127027579,
13,11,18,18,0.15415067982725836,0.0,
26,14,29,27,0.5877866649021191,0.06899287148695142,
29,16,45,23,0.5679840376059393,0.6505875661411494,
16,13,25,26,0.1941560144409574,-0.037740327982847086,
4,4,10,13,0.0,-0.2411620568168881,
16,5,26,5,1.0414538748281612,1.5040773967762742,
16,12,29,20,0.26826398659467937,0.3566749439387324,
22,15,39,43,0.3629054936893685,-0.0953101798043249,
25,30,39,59,-0.17589066646366416,-0.40546510810816444,
18,13,23,19,0.3053816495511819,0.1823215567939546,
16,8,17,9,0.6359887667199967,0.5877866649021191,
15,32,42,36,-0.723918839226699,0.1502822030493379,
11,15,34,42,-0.2876820724517809,-0.20585205420414873,
15,23,33,26,-0.40546510810816444,0.23052365861183235,
27,14,51,29,0.6241543090729939,0.550046336919272,
12,21,18,41,-0.5260930958967791,-0.7932306391169278,
5,9,8,10,-0.5108256237659907,-0.2006706954621511,
23,12,44,24,0.6131044728864089,0.5877866649021191,
23,12,40,20,0.6131044728864089,0.6690496289808848,
30,15,41,42,0.661398482245365,-0.02353049741019416,
10,16,14,35,-0.4353180712578455,-0.8754687373538999,
23,18,38,28,0.2336148511815051,0.29626581614317243,
13,14,26,18,-0.06899287148695143,0.3513978868378886,
13,10,38,19,0.24116205681688804,0.6678293725756554,
24,8,50,22,1.0216512475319812,0.7963314167951762,
6,14,7,27,-0.7621400520468967,-1.252762968495368,
14,18,28,30,-0.2363887780642304,-0.06669137449867228,
17,27,29,42,-0.4418327522790392,-0.36000273403140703,
10,13,19,41,-0.2411620568168881,-0.7419373447293773,
28,8,35,16,1.1700712526502546,0.750305594399894,
2,10,5,36,-1.2992829841302609,-1.8191584434161694,
13,14,20,29,-0.06899287148695143,-0.35667494393873245,
34,12,30,19,0.990398704027877,0.4382549309311553,
16,16,23,27,0.0,-0.15415067982725836,
5,5,20,21,0.0,-0.04652001563489282,
20,17,37,34,0.15415067982725836,0.08223809823697201,
