I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
7,12,18,34,-0.48550781578170077,-0.6109090823229733,
11,18,14,33,-0.4595323293784402,-0.8183103235139514,
5,38,8,59,-1.8718021769015913,-1.8971199848858813,
3,24,8,36,-1.8325814637483102,-1.413693335308005,
9,16,16,47,-0.5306282510621704,-1.0379876668516748,
7,31,13,56,-1.3862943611198906,-1.4039939382192916,
4,18,10,31,-1.3350010667323402,-1.067840630001356,
11,26,29,64,-0.8109302162163288,-0.7731898882334817,
6,23,19,47,-1.2321436812926323,-0.8754687373538999,
15,22,24,33,-0.3629054936893685,-0.30748469974796055,
6,32,17,39,-1.550597412411167,-0.7985076962177716,
11,12,23,13,-0.08004270767353637,0.5389965007326869,
6,34,8,74,-1.6094379124341003,-2.120263536200091,
11,20,13,32,-0.5596157879354228,-0.8574502318512216,
10,41,19,64,-1.3397743454849977,-1.1786549963416462,
4,25,18,59,-1.6486586255873816,-1.1499055830556604,
15,61,22,77,-1.3545456628053103,-1.221214610760442,
7,30,25,55,-1.3545456628053103,-0.7672551527136672,
14,36,14,53,-0.9028677115420143,-1.2809338454620642,
7,49,15,88,-1.8325814637483102,-1.7160476474923587,
5,18,7,64,-1.1526795099383855,-2.094945728215801,
12,11,18,14,0.08004270767353636,0.23638877806423034,
4,28,8,72,-1.7578579175523736,-2.093234863812172,
9,30,9,60,-1.1314021114911006,-1.8082887711792657,
1,30,9,55,-2.740840023925201,-1.7227665977411035,
13,18,17,29,-0.3053816495511819,-0.5108256237659907,
11,17,14,32,-0.40546510810816444,-0.7884573603642702,
8,24,24,44,-1.0216512475319814,-0.587786664902119,
4,10,5,37,-0.7884573603642702,-1.845826690498331,
10,22,21,49,-0.7375989431307791,-0.8209805520698302,
7,27,9,35,-1.252762968495368,-1.2809338454620642,
7,19,18,24,-0.916290731874155,-0.2744368457017603,
8,22,16,42,-0.9382696385929302,-0.9279867716373464,
5,35,10,64,-1.791759469228055,-1.7764919970972666,
7,52,27,98,-1.890850371872286,-1.262915339959386,
7,33,11,70,-1.4469189829363254,-1.777773227253315,
17,13,28,37,0.25131442828090617,-0.2702903297399117,
7,8,13,23,-0.11778303565638351,-0.5389965007326869,
10,30,12,47,-1.0360919316867756,-1.3062516534463542,
5,36,9,70,-1.8191584434161694,-1.9600947840472698,
10,22,29,33,-0.7375989431307791,-0.12516314295400605,
7,28,15,36,-1.2878542883066382,-0.8383291904044432,
11,30,18,49,-0.9490805546971459,-0.9675840262617056,
10,50,21,84,-1.5339303599259553,-1.3516088031320006,
10,31,17,52,-1.067840630001356,-1.0799201556559572,
10,21,17,45,-0.6931471805599453,-0.9382696385929302,
5,13,7,31,-0.8472978603872037,-1.3862943611198906,
3,26,11,49,-1.9095425048844386,-1.4271163556401458,
6,18,21,27,-0.9985288301111273,-0.2411620568168881,
19,28,18,61,-0.37156355643248296,-1.1826954058786512,
13,18,14,30,-0.3053816495511819,-0.7259370033829361,
8,20,14,35,-0.8472978603872037,-0.8754687373538999,
16,6,26,13,0.8873031950009027,0.6567795363890705,
13,41,10,69,-1.0986122886681098,-1.8505999692509885,
15,10,24,25,0.3746934494414107,-0.03922071315328127,
8,28,18,45,-1.1700712526502546,-0.8842024173226546,
6,27,17,74,-1.3862943611198906,-1.4271163556401458,
2,22,11,41,-2.03688192726104,-1.252762968495368,
12,23,29,44,-0.6131044728864089,-0.40546510810816444,
7,21,12,27,-1.0116009116784799,-0.7672551527136672,
12,42,29,84,-1.1962507582320256,-1.041453874828161,
8,26,19,53,-1.0986122886681098,-0.9932517730102834,
6,44,12,77,-1.8607523407150064,-1.791759469228055,
5,25,13,59,-1.466337068793427,-1.455287232606842,
8,23,15,41,-0.9808292530117262,-0.9650808960435872,
8,34,18,56,-1.3581234841531944,-1.0986122886681098,
6,27,12,50,-1.3862943611198906,-1.3668762752627892,
3,24,10,45,-1.8325814637483102,-1.4307461236907244,
8,24,12,35,-1.0216512475319814,-1.0185695809945732,
11,15,17,38,-0.2876820724517809,-0.7731898882334817,
6,31,17,56,-1.5198257537444133,-1.1526795099383855,
8,37,14,44,-1.4403615823901665,-1.0986122886681098,
9,32,21,49,-1.1939224684724346,-0.8209805520698302,
7,44,9,88,-1.7272209480904839,-2.186051276738094,
6,41,24,75,-1.791759469228055,-1.1118575154181303,
8,19,11,33,-0.7985076962177716,-1.041453874828161,
11,26,22,48,-0.8109302162163288,-0.7563260821814769,
7,28,13,58,-1.2878542883066382,-1.4384801142904609,
9,32,34,65,-1.1939224684724346,-0.6343066805370119,
7,57,13,99,-1.9810014688665833,-1.9661128563728327,
17,24,19,32,-0.3285040669720361,-0.5007752879124893,
4,10,14,28,-0.7884573603642702,-0.6592456288842639,
9,34,20,62,-1.252762968495368,-1.0986122886681098,
4,44,21,68,-2.1972245773362196,-1.1430640512389436,
8,33,9,44,-1.329135947279942,-1.5040773967762742,
8,34,16,60,-1.3581234841531944,-1.2776605201170952,
1,20,6,38,-2.3513752571634776,-1.717651497074333,
4,35,17,45,-1.9740810260220096,-0.9382696385929302,
6,36,29,59,-1.6650077635889111,-0.6931471805599453,
17,46,32,64,-0.9597758438138939,-0.6778797084291569,
4,50,15,69,-2.322387720290225,-1.4759065198095778,
10,33,18,42,-1.128465251817791,-0.8167611365271219,
2,22,3,23,-2.03688192726104,-1.791759469228055,
12,37,10,74,-1.072636802264849,-1.91959284073794,
12,30,28,39,-0.8690378470236094,-0.32158362412746233,
10,28,21,47,-0.9694005571881036,-0.7801585575495751,
7,21,4,42,-1.0116009116784799,-2.151762203259462,
5,29,16,53,-1.6094379124341003,-1.1557707025080584,
5,24,8,47,-1.4271163556401458,-1.6739764335716716,
14,29,20,47,-0.6931471805599453,-0.8266785731844679,
10,33,5,46,-1.128465251817791,-2.0583881324820035,
11,31,15,55,-0.9808292530117262,-1.252762968495368,
12,24,20,29,-0.6539264674066639,-0.35667494393873245,
15,21,18,28,-0.3184537311185346,-0.4228568508200336,
7,36,11,61,-1.5314763709643884,-1.6422277352570913,
17,16,17,29,0.05715841383994862,-0.5108256237659907,
5,34,20,84,-1.7635885922613588,-1.3981288187668934,
3,25,15,53,-1.8718021769015913,-1.2163953243244932,
1,16,9,26,-2.1400661634962708,-0.9932517730102834,
8,42,17,55,-1.563975538357343,-1.1349799328389845,
8,21,10,44,-0.8938178760220964,-1.4087672169719492,
6,32,16,65,-1.550597412411167,-1.3564413979702095,
4,46,10,63,-2.2407096892759584,-1.7609878105613013,
11,34,24,42,-1.0704414117014134,-0.5423242908253616,
11,35,17,70,-1.0986122886681098,-1.3723081191451507,
4,25,7,44,-1.6486586255873816,-1.7272209480904839,
7,29,24,42,-1.3217558399823195,-0.5423242908253616,
13,27,26,60,-0.6931471805599453,-0.8150369981689822,
7,26,18,48,-1.2163953243244932,-0.9473813189441862,
6,26,13,55,-1.349926716949016,-1.3862943611198906,
12,48,29,52,-1.3268709406490897,-0.5690945318899665,
7,37,12,64,-1.55814461804655,-1.6094379124341003,
8,31,20,40,-1.2685113254635072,-0.6690496289808848,
10,21,24,39,-0.6931471805599453,-0.4700036292457356,
8,37,25,55,-1.4403615823901665,-0.7672551527136672,
8,14,10,19,-0.5108256237659907,-0.5978370007556204,
9,41,12,64,-1.4350845252893227,-1.6094379124341003,
17,24,39,59,-0.3285040669720361,-0.40546510810816444,
17,43,31,49,-0.8938178760220964,-0.4462871026284195,
7,25,20,52,-1.1786549963416462,-0.9257694758286987,
6,39,19,74,-1.742969305058623,-1.3217558399823195,
8,25,18,32,-1.0608719606852628,-0.5520685823000397,
6,56,7,110,-2.097141118779237,-2.630088659632498,
