I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
5,42,15,84,-1.9694406464655074,-1.6700625342505353,
2,25,12,36,-2.159484249353372,-1.0459685551826876,
12,34,14,54,-0.9903987040278769,-1.2992829841302609,
4,25,6,31,-1.6486586255873816,-1.5198257537444133,
4,15,5,35,-1.1631508098056809,-1.791759469228055,
5,22,13,26,-1.3437347467010947,-0.6567795363890705,
2,28,4,30,-2.268683541318364,-1.824549292051046,
12,40,13,65,-1.148622709242771,-1.550597412411167,
1,30,8,42,-2.740840023925201,-1.563975538357343,
3,24,9,52,-1.8325814637483102,-1.667706820558076,
5,28,16,51,-1.575536360758419,-1.1180303745252114,
1,21,4,39,-2.3978952727983707,-2.0794415416798357,
7,21,7,39,-1.0116009116784799,-1.6094379124341003,
3,32,9,67,-2.1102132003465894,-1.916922612182061,
6,53,15,93,-2.043073897508961,-1.7707060600302227,
1,16,4,19,-2.1400661634962708,-1.3862943611198906,
3,38,9,65,-2.277267285009756,-1.8870696490323797,
9,10,8,12,-0.0953101798043249,-0.3677247801253174,
2,21,9,71,-1.9924301646902063,-1.9740810260220096,
0,17,3,37,-2.890371757896165,-2.2512917986064953,
11,33,9,51,-1.041453874828161,-1.6486586255873816,
7,27,15,45,-1.252762968495368,-1.0560526742493137,
3,19,6,17,-1.6094379124341003,-0.9444616088408514,
1,28,4,48,-2.6741486494265287,-2.2823823856765264,
5,25,4,57,-1.466337068793427,-2.451005098112319,
3,23,11,38,-1.791759469228055,-1.1786549963416462,
5,31,6,50,-1.6739764335716716,-1.9859154836690123,
11,10,23,25,0.0870113769896297,-0.08004270767353637,
8,30,13,66,-1.2367626271489267,-1.5656352897757075,
3,27,4,48,-1.9459101490553135,-2.2823823856765264,
6,46,8,106,-1.9042374526547454,-2.4756042571256867,
4,13,8,35,-1.0296194171811581,-1.3862943611198906,
8,26,12,40,-1.0986122886681098,-1.148622709242771,
7,51,11,101,-1.8718021769015913,-2.1400661634962708,
